,MIN,MAX
cont_pmco_ajm,-1.0,175.0
cont_pmdoscinco_ajm,-1.0,127.0
cont_nox_ajm,-1.0,145.0
cont_co_ajm,-1.0,2.1
cont_nodos_ajm,-1.0,106.0
cont_no_ajm,-1.0,96.0
cont_otres_ajm,0.0,196.0
cont_sodos_ajm,-1.0,93.0
cont_pmdiez_ajm,-1.0,205.0
weekday,1.0,7.0
sinWeekday,0.01253604390908819,0.9874639560909118
year,2015.0,2018.0
month,1.0,12.0
sinMonth,0.005089279059533658,0.9949107209404664
day,1.0,31.0
sinDay,0.0011656154047304246,0.9988343845952696
valLab,0.0,2.0
U10,-11.32717990875244,13.802447319030762
U10.1,-11.508637428283693,13.654791831970215
U10.2,-11.6859712600708,13.530059814453125
U10.3,-11.790188789367676,13.77934
U10.4,-10.427783966064453,11.781536102294922
U10.5,-10.102971076965332,11.578798294067385
U10.6,-10.452170372009276,12.43688678741455
U10.7,-10.205033302307127,12.623074531555176
U10.8,-10.427783966064453,11.781536102294922
U10.9,-10.102971076965332,11.578798294067385
U10.10,-10.452170372009276,12.43688678741455
U10.11,-10.205033302307127,12.623074531555176
U10.12,-10.427783966064453,11.781536102294922
U10.13,-10.102971076965332,11.578798294067385
U10.14,-10.452170372009276,12.43688678741455
U10.15,-10.205033302307127,12.623074531555176
U10.16,-10.427783966064453,11.781536102294922
U10.17,-10.102971076965332,11.578798294067385
U10.18,-10.452170372009276,12.43688678741455
U10.19,-10.205033302307127,12.623074531555176
U10.20,-10.427783966064453,11.781536102294922
U10.21,-10.102971076965332,11.578798294067385
U10.22,-10.452170372009276,12.43688678741455
U10.23,-10.205033302307127,12.623074531555176
U10.24,-10.427783966064453,11.781536102294922
U10.25,-10.102971076965332,11.578798294067385
U10.26,-10.452170372009276,12.43688678741455
U10.27,-10.205033302307127,12.623074531555176
U10.28,-10.427783966064453,11.781536102294922
U10.29,-10.102971076965332,11.578798294067385
U10.30,-10.452170372009276,12.43688678741455
U10.31,-10.205033302307127,12.623074531555176
U10.32,-10.427783966064453,11.781536102294922
U10.33,-10.102971076965332,11.578798294067385
U10.34,-10.452170372009276,12.43688678741455
U10.35,-10.205033302307127,12.623074531555176
U10.36,-10.427783966064453,11.781536102294922
U10.37,-10.102971076965332,11.578798294067385
U10.38,-10.452170372009276,12.43688678741455
U10.39,-10.205033302307127,12.623074531555176
U10.40,-10.427783966064453,11.781536102294922
U10.41,-10.102971076965332,11.578798294067385
U10.42,-10.452170372009276,12.43688678741455
U10.43,-10.205033302307127,12.623074531555176
U10.44,-10.427783966064453,11.781536102294922
U10.45,-10.102971076965332,11.578798294067385
U10.46,-10.452170372009276,12.43688678741455
U10.47,-10.205033302307127,12.623074531555176
U10.48,-10.427783966064453,11.781536102294922
U10.49,-10.102971076965332,11.578798294067385
U10.50,-10.452170372009276,12.43688678741455
U10.51,-10.205033302307127,12.623074531555176
U10.52,-10.427783966064453,11.781536102294922
U10.53,-10.102971076965332,11.578798294067385
U10.54,-10.452170372009276,12.43688678741455
U10.55,-10.205033302307127,12.623074531555176
U10.56,-10.427783966064453,11.781536102294922
U10.57,-10.102971076965332,11.578798294067385
